ENTREZ_id,logFC,AveExpr,t,P.Value,adj.P.Val,B
161176,-0.100859333,5.249418667,-3.409938056,0.000884869,0.002758628,-1.56901283
9287,-0.101299,4.511368833,-2.968141843,0.003615722,0.009518514,-2.86956098
101929145,-0.101670417,5.946492958,-2.447809201,0.015815364,0.034195508,-4.199122684
64072 /// 100653137,-0.101715083,5.708839542,-2.815465108,0.005692577,0.01413069,-3.282998911
91445,-0.1018815,8.94232625,-2.599315762,0.010508923,0.024028084,-3.835426495
6037,-0.101886833,6.71399275,-2.390554176,0.018373343,0.038869693,-4.331427076
5607,-0.101940583,5.664384708,-2.676230107,0.008483093,0.019955016,-3.643328317
161725,-0.102183833,5.150634583,-3.031123727,0.002983545,0.008032114,-2.693519382
103352539,-0.102343083,4.649321708,-2.48399205,0.014367197,0.031575081,-4.114051509
2916,-0.102346333,4.3688125,-2.64946835,0.009143937,0.021310204,-3.710732634
286042,-0.1027125,5.291846,-2.868393344,0.004873222,0.012324729,-3.141824011
63891,-0.10285575,7.847039625,-2.437424011,0.016254358,0.035026996,-4.223331307
25834,-0.102945833,3.534086583,-4.132954443,6.65E-05,0.000272808,0.870536819
255394,-0.1033005,4.985660917,-3.160433728,0.001992927,0.005627679,-2.322199822
10454 /// 100506472,-0.103302667,5.81458,-2.387550675,0.018517126,0.039113362,-4.338289071
143279,-0.103796167,4.204530083,-3.024652686,0.003043444,0.008176267,-2.711753024
143903,-0.1039215,4.279831417,-2.866967031,0.004893806,0.012370332,-3.145658473
6209,-0.103959083,9.475179375,-4.426997069,2.11E-05,9.79E-05,1.963756097
101926906,-0.104132333,4.318442,-3.397395293,0.000922684,0.002864277,-1.608008565
56171,-0.104148667,5.490287333,-2.710844898,0.007692541,0.018335888,-3.555254371
23293,-0.10415625,6.108101458,-3.156457284,0.002018169,0.005689412,-2.333814577
9495,-0.104222417,4.755636125,-2.600429555,0.010476718,0.023979506,-3.83268036
7092,-0.104298833,3.67994725,-4.853965467,3.67E-06,2.00E-05,3.645387685
100506606,-0.104588667,5.2481655,-2.953797276,0.003775978,0.009876226,-2.909210265
200232 /// 388799,-0.104721167,3.995217917,-3.549538814,0.000551388,0.001811386,-1.127070606
442028 /// 644316 /// 101927088 /// 101927527 /// 101929518,-0.104857833,4.503241083,-2.519938878,0.013046927,0.029025032,-4.028421285
4482,-0.105109583,6.614328208,-2.845683224,0.005210571,0.013076632,-3.20267969
55527,-0.1051385,7.3160465,-2.919113604,0.004190835,0.010825418,-3.004391511
