x
1,1300
2,1301
3,90161
4,6690
5,115908
6,4321
7,4312
8,1469
9,26585
10,27324
11,6696
12,2706
13,9245
14,9547
15,1356
16,56649
17,1382
18,7153
19,1311
20,10563
21,51557
22,7058
23,55808
24,23213
25,1001
26,9837
27,79782
28,54443
29,6241
30,26575
31,9787
32,8612
33,3026
34,29128
35,1281
36,4322
37,3149
38,1278
39,132299
40,991
41,11130
42,6447
43,701
44,8857
45,29089
46,1277
47,118932
48,27299
49,6273
50,10112
51,891
52,256714
53,7272
54,100133941
55,1728
56,80078
57,55765
58,415
59,2810
60,100505989
61,653067 /// 653220
62,55165
63,9833
64,84740
65,1945
66,130367
67,6947
68,4316
69,1290
70,3161
71,10551
72,196410
73,4192
74,22974
75,8645
76,10874
77,3053
78,116028
79,6676
80,30001
81,24137
82,7104
83,11065
84,563
85,84624
86,3832
87,29968
88,1033
89,57016
90,51809
91,5002
92,25878
93,7498
94,222643
95,4318
96,83540
97,27344
98,149175
99,6424
100,79783
101,388722
102,5099
103,11015
104,84706
105,1029
106,26
107,57393
108,27347
109,7368
110,100506098
111,1048
112,3783
113,79733
114,9055
115,2191
116,83879
117,55872
118,9232
119,56521
120,3017
121,2524
122,9768
123,5831
124,5121
125,128872
126,563 /// 646282
127,6715
128,1058 /// 54978
129,5738
130,276 /// 277 /// 278 /// 279 /// 280 /// 648740
131,1365
132,9075
133,64151
134,101669762
135,9244
136,440603
137,7070
138,50489
139,400619 /// 100499467
140,5723
141,2676
142,84419
143,84634
144,145741
145,8507
146,6662
147,6790
148,388743
149,2888
150,2861 /// 80343
151,100132169
152,112937
153,1472
154,121227
155,144501
156,79755
157,6491
158,909
159,51203
160,1428
161,5328
162,3898
163,10403
164,6495
165,116238
166,2146
167,983
168,89944
169,59272
170,2118
171,2305
172,53836
173,5570
174,64105
175,7366
176,4751
177,54102
178,9928
179,93273
180,79017
181,1289
182,25825
183,1733
184,266977
185,2274
186,3866
187,51303
188,6768
189,8339 /// 8970
190,196051
191,79801
192,286827
193,8483
194,1159 /// 548596
195,4830
196,55061
197,11004
198,54664
199,1803
200,283209
201,1470
202,84791
203,3934
204,7105
205,654790
206,55974
207,57549
208,55228
209,128272
210,260436
211,9601
212,26499
213,2150
214,79852
215,11005
216,6819
217,3486
218,23601
219,4171
220,55353
221,4907
222,4237
223,6423
224,84057
225,890
226,4810
227,148327
228,100506696
229,56924
230,10606
231,26996
232,3853
233,147920
234,3537 /// 3546 /// 26586 /// 28831
235,5050
236,51053
237,340547
238,2530
239,2525
240,29760
241,7298
242,1893
243,27034
244,7083
245,1917
246,201266
247,205 /// 100507855
248,5352
249,203413
250,54733
251,91614
252,388228
253,3217
254,51599
255,56992
256,28969
257,28831
258,55789
259,28983
260,10549
261,100507218
262,1832
263,10609
264,493869
265,4319
266,401115
267,3960
268,4072
269,11226
270,120224
271,23600 /// 100534612
272,638
273,139231
274,1950
275,4085
276,26011
277,7031
278,24141
279,55240
280,112399
281,51280
282,146857
283,148113
284,200958
285,440335
286,23594
287,347733
288,51361
289,26154
290,149420
291,4151
292,2444
293,56164
294,145837
295,28823
296,79703
297,27293
