x
1,4321
2,1301
3,26585
4,3853
5,10563
6,4312
7,115908
8,7153
9,2706
10,57016
11,9787
12,991
13,7272
14,22974
15,6241
16,9837
17,55872
18,11065
19,83540
20,54443
21,9833
22,1058 /// 54978
23,29089
24,24137
25,1033
26,1300
27,3728 /// 3872
28,55165
29,1832
30,701
31,891
32,6273
33,29128
34,27299
35,6696
36,9055
37,6447
38,10403
39,4102 /// 4105
40,56649
41,51203
42,2305
43,23213
44,4105
45,10804
46,10874
47,3852
48,53836
49,9319
50,3853 /// 3854 /// 286887
51,3854
52,90161
53,10112
54,55355
55,11130
56,554282 /// 653820 /// 728833 /// 729533
57,29968
58,3832
59,6535
60,6699
61,3149
62,3161
63,11004
64,84624
65,9928
66,81610
67,2146
68,4922
69,4085
70,64151
71,3866
72,6790
73,51514
74,3861
75,10635
76,116028
77,5984
78,983
79,347733
80,84634
81,7058
82,4171
83,56992
84,5121
85,112399
86,54575 /// 54576 /// 54577 /// 54578 /// 54579 /// 54600 /// 54657 /// 54658 /// 54659
87,2877
88,1382
89,113130
90,4318
91,3486
92,10615
93,1159 /// 548596
94,83461
95,890
96,27338
97,4751
98,3223
99,9232
100,4192
101,6690
102,54575 /// 54576 /// 54578 /// 54600 /// 54657 /// 54658
103,128872
104,4288
105,6513
106,7291
107,146909
108,6491
109,11339
110,8339 /// 8970
111,8318
112,9768
113,5744
114,83879
115,6535 /// 386757 /// 653562
116,1281
117,1062
118,3492 /// 3493 /// 3494 /// 3495 /// 3500 /// 3502 /// 3503 /// 3507 /// 28396 /// 28442
119,10962
120,503639
121,56938
122,1830
123,6707
124,55635
125,5050
126,990
127,205 /// 100507855
128,84706
129,1290
130,8612
131,55143
132,23532
133,79733
134,116832
135,57405
136,8836
137,29028
138,9156
139,332
140,79623
141,5217
142,1690
143,5352
144,29127
145,57560 /// 286827
146,1728
147,7083
148,7298
149,3017
150,2191
151,10643
152,4830
153,23397
154,344887
155,3493 /// 3494 /// 3495 /// 3500 /// 3502 /// 3503 /// 3507 /// 28396
156,1277
157,6698
158,1163
159,151246
160,1469
161,115749
162,503639 /// 642477
163,3868
164,5268
165,7368
166,1829
167,55215
168,64105
169,387103
170,56521
171,92196
172,1001
173,5471
174,81557 /// 728239 /// 100124541 /// 101340250
175,10535
176,3485
177,286827
178,51053
179,9447
180,9582
181,8140
182,26256
183,9071
184,3492 /// 3493 /// 3494 /// 3500 /// 3501 /// 3502 /// 3507 /// 28396 /// 102725526
185,9493
186,29923
187,9735
188,6676
189,55789
190,1111
191,3537 /// 3546 /// 26586 /// 28831
192,3492 /// 3493 /// 3495 /// 3500 /// 3502 /// 3507 /// 28396 /// 28442
193,5803
194,4319
195,9635
196,4322
197,57549
198,3860
199,54892
200,55612
201,4111
202,4173
203,150468
204,1164
205,4314
206,10721
207,23657
208,1825
209,54478
210,79801
211,3493 /// 3495 /// 3500 /// 3502 /// 3507 /// 28396
212,389336
213,5427
214,28831
215,53335
216,9547
217,84985
218,4605
219,1515
220,5317
