,logFC,AveExpr,t,P.Value,adj.P.Val,B
4321,8.746596519,-0.407297259,15.1259152,2.01E-32,1.25E-30,63.10650077
1301,8.141238666,-0.396863648,16.46107929,5.74E-36,6.38E-34,71.2161228
26585,7.548786069,-0.297584216,15.09785853,2.38E-32,1.46E-30,62.9344073
3853,6.903213311,-0.261587762,8.579208565,8.85E-15,7.12E-14,22.77208927
10563,6.754594593,-0.177593578,10.15001334,6.51E-19,8.32E-18,32.19797237
4312,6.636194324,-0.265194547,9.963086361,2.06E-18,2.51E-17,31.05507389
115908,6.3566269,-0.255931883,14.8661574,9.98E-32,5.54E-30,61.51085581
7153,6.314105781,-0.363417585,17.64022379,4.95E-39,9.18E-37,78.22893683
2706,6.25163614,-0.227670057,12.76139249,5.15E-26,1.42E-24,48.43476561
57016,6.243384888,-0.431753762,8.956218319,9.39E-16,8.42E-15,24.99170284
9787,6.053630823,-0.361378161,17.25555624,4.87E-38,7.50E-36,75.95791298
991,5.97769334,-0.367343439,18.47184437,3.75E-41,1.06E-38,83.08017209
7272,5.945426664,-0.369274184,16.44314406,6.40E-36,7.04E-34,71.10831176
22974,5.929443827,-0.390116194,18.5005169,3.17E-41,9.25E-39,83.24596634
6241,5.775966344,-0.288481073,15.35696738,4.83E-33,3.28E-31,64.52129034
9837,5.693432168,-0.353765824,18.54134762,2.50E-41,7.71E-39,83.48189187
55872,5.651829369,-0.343211716,15.22622309,1.08E-32,6.91E-31,63.72124939
11065,5.538726184,-0.347122284,18.10013641,3.29E-40,7.83E-38,80.92190659
83540,5.485358101,-0.356847413,17.86105318,1.34E-39,2.80E-37,79.52505418
54443,5.393490105,-0.284719811,16.17412627,3.27E-35,3.30E-33,69.48732929
9833,5.314470424,-0.299375803,17.57106327,7.46E-39,1.32E-36,77.82185836
1058 /// 54978,5.291382436,-0.366057465,17.49672807,1.16E-38,1.97E-36,77.38371384
29089,5.291274394,-0.335280563,20.44105595,4.97E-46,4.94E-43,94.23018702
24137,5.26085732,-0.345791163,19.64085672,4.50E-44,2.40E-41,89.75797475
1033,5.224429173,-0.318915025,16.84050053,5.83E-37,7.69E-35,73.48907654
1300,5.168517996,-0.206732862,13.26904127,2.12E-27,6.89E-26,51.60559305
3728 /// 3872,5.150785012,-0.283009871,8.793548632,2.48E-15,2.12E-14,24.03005543
55165,5.14295944,-0.27500461,16.46368688,5.65E-36,6.34E-34,71.23179466
1832,5.107108731,-0.312769633,15.46514433,2.49E-33,1.76E-31,65.18214949
701,5.080606774,-0.31368455,17.07768912,1.41E-37,2.03E-35,74.90222206
891,5.064066258,-0.300021616,17.72004633,3.09E-39,6.14E-37,78.69809021
6273,5.043060287,-0.134837329,7.792581672,8.56E-13,5.52E-12,18.2579127
29128,5.026343423,-0.287176171,18.08694696,3.56E-40,8.37E-38,80.84502194
27299,4.991960348,-0.166008908,9.226778133,1.84E-16,1.81E-15,26.60335704
6696,4.941546907,-0.23987719,15.71535485,5.36E-34,4.30E-32,66.70678699
9055,4.93742707,-0.306787835,17.47837252,1.29E-38,2.16E-36,77.2754265
6447,4.743478165,-0.317983704,11.82338097,1.88E-23,3.88E-22,42.57097642
10403,4.714285366,-0.309173322,14.65396945,3.72E-31,1.90E-29,60.20367453
4102 /// 4105,4.701502231,-0.41026587,7.678358349,1.64E-12,1.02E-11,17.61759775
56649,4.674822129,-0.215696422,12.59346519,1.48E-25,3.81E-24,47.38489483
51203,4.670377465,-0.292751083,16.86426503,5.06E-37,6.75E-35,73.6309358
2305,4.668190646,-0.314246808,16.6370611,1.99E-36,2.41E-34,72.27222241
23213,4.564350433,-0.145856523,14.31368277,3.08E-30,1.41E-28,58.10087465
4105,4.555993393,-0.407709852,7.590372652,2.69E-12,1.64E-11,17.12727223
10804,4.552104948,-0.215122204,7.810139014,7.74E-13,5.02E-12,18.35670549
10874,4.509320204,-0.260819085,10.53347082,6.05E-20,8.63E-19,34.55532625
3852,4.494160562,-0.250264961,5.982887403,1.44E-08,5.71E-08,8.699705564
53836,4.479794146,-0.150341036,8.943089707,1.02E-15,9.09E-15,24.91387903
9319,4.477263279,-0.285469617,15.24496633,9.63E-33,6.23E-31,63.83602867
3853 /// 3854 /// 286887,4.453435967,-0.180849882,8.058176675,1.86E-13,1.30E-12,19.76249611
3854,4.441080292,-0.241363103,8.020746359,2.31E-13,1.59E-12,19.54917252
90161,4.33618669,-0.096472498,10.07850812,1.01E-18,1.27E-17,31.76025296
10112,4.275056959,-0.267370298,15.46390839,2.50E-33,1.76E-31,65.17460473
55355,4.271972738,-0.294450646,19.02492393,1.52E-42,5.75E-40,86.26060901
11130,4.231534997,-0.237885214,15.59271742,1.14E-33,8.57E-32,65.96019933
554282 /// 653820 /// 728833 /// 729533,4.207898176,-0.279128987,14.62433701,4.47E-31,2.25E-29,60.02086912
29968,4.201245746,-0.262920028,16.20434107,2.72E-35,2.76E-33,69.66974881
3832,4.197030515,-0.272424544,15.52705285,1.70E-33,1.24E-31,65.5598986
6535,4.187720126,-0.289489522,11.73399528,3.30E-23,6.63E-22,42.01284193
6699,4.175524259,-0.141149474,6.778943797,2.33E-10,1.14E-09,12.73711424
3149,4.160207266,-0.189236175,12.82727532,3.40E-26,9.60E-25,48.84656978
3161,4.088973372,-0.221053607,15.15013354,1.73E-32,1.08E-30,63.25500013
11004,4.087081344,-0.283802363,17.78523994,2.10E-39,4.22E-37,79.08071798
84624,4.0706113,-0.098969333,10.60628488,3.84E-20,5.57E-19,35.00467897
9928,4.06452991,-0.272615099,16.58139142,2.78E-36,3.28E-34,71.93848389
81610,4.053840039,-0.24777872,13.08594652,6.70E-27,2.07E-25,50.46265419
2146,4.04914426,-0.260911297,14.42423598,1.55E-30,7.38E-29,58.78486737
4922,4.039691131,-0.341284839,5.484876394,1.63E-07,5.60E-07,6.334885505
4085,4.010252078,-0.291592672,16.02547724,8.08E-35,7.42E-33,68.58857791
64151,3.987302698,-0.286171173,16.70527054,1.32E-36,1.65E-34,72.68069632
3866,3.965916798,-0.196745292,7.403954631,7.66E-12,4.42E-11,16.09709138
6790,3.96143215,-0.223274589,17.69151447,3.65E-39,7.01E-37,78.53047958
51514,3.943635393,-0.220385397,13.62465127,2.28E-28,8.18E-27,53.82226663
3861,3.936843313,-0.164113426,6.224186947,4.25E-09,1.79E-08,9.89196462
10635,3.919041123,-0.257384704,15.0017319,4.32E-32,2.52E-30,62.34431646
116028,3.91386718,-0.223450715,14.77135089,1.80E-31,9.54E-30,60.92720385
5984,3.870277683,-0.252127313,15.45358798,2.67E-33,1.87E-31,65.11159897
983,3.864917233,-0.258430532,15.65424681,7.80E-34,6.12E-32,66.33494443
347733,3.859834506,-0.395043993,8.623763827,6.80E-15,5.53E-14,23.03269355
84634,3.850199887,-0.127353809,9.718856707,9.23E-18,1.05E-16,29.5689692
7058,3.849783084,-0.074126091,10.52325222,6.44E-20,9.17E-19,34.49230538
4171,3.834896612,-0.235732768,16.12711744,4.35E-35,4.25E-33,69.20333953
56992,3.829287333,-0.273890674,16.02631051,8.04E-35,7.42E-33,68.59362196
5121,3.825345953,-0.175730011,7.445382089,6.08E-12,3.55E-11,16.32498365
112399,3.810672784,-0.202727526,12.07020054,3.99E-24,8.82E-23,44.11315022
54575 /// 54576 /// 54577 /// 54578 /// 54579 /// 54600 /// 54657 /// 54658 /// 54659,3.788593252,-0.23536393,7.386528893,8.45E-12,4.83E-11,16.00141421
2877,3.758486773,-0.282768801,9.529072783,2.94E-17,3.15E-16,28.4203584
1382,3.752207054,-0.113878272,10.46687147,9.15E-20,1.28E-18,34.14477524
113130,3.74918773,-0.256463367,16.98441813,2.46E-37,3.43E-35,74.34724797
4318,3.745992479,-0.170756851,9.534856966,2.84E-17,3.05E-16,28.45527981
3486,3.731869081,-0.163252247,11.82394246,1.88E-23,3.87E-22,42.57448317
10615,3.725522748,-0.266369367,15.97788749,1.08E-34,9.64E-33,68.30039468
1159 /// 548596,3.725125774,-0.292435651,12.41448655,4.57E-25,1.12E-23,46.26573055
83461,3.718114204,-0.267930299,17.71326563,3.21E-39,6.33E-37,78.65826542
890,3.714677158,-0.243920087,15.35381662,4.93E-33,3.34E-31,64.50202726
27338,3.713884133,-0.284753445,14.47461546,1.13E-30,5.47E-29,59.09630626
4751,3.712109818,-0.248191099,19.12211234,8.71E-43,3.81E-40,86.81560128
3223,3.676316732,-0.315330039,9.406482658,6.20E-17,6.40E-16,27.68156109
9232,3.675293078,-0.212034871,15.05338148,3.14E-32,1.87E-30,62.66146693
4192,3.664238711,-0.194374837,12.69824337,7.67E-26,2.06E-24,48.03999504
6690,3.645114253,0.019403809,5.210761187,5.86E-07,1.87E-06,5.092488777
54575 /// 54576 /// 54578 /// 54600 /// 54657 /// 54658,3.630951116,-0.224397581,7.714573305,1.33E-12,8.40E-12,17.82015648
128872,3.623415745,-0.196807088,14.29732688,3.41E-30,1.55E-28,57.99961594
4288,3.603252065,-0.232930103,17.31380795,3.44E-38,5.49E-36,76.30289222
6513,3.603211315,-0.212363407,13.11801571,5.48E-27,1.71E-25,50.66290716
7291,3.602565997,-0.246625786,9.60407889,1.86E-17,2.04E-16,28.87362516
146909,3.602492515,-0.261538011,16.25634646,1.99E-35,2.08E-33,69.98351676
6491,3.575553356,-0.244251545,17.09519243,1.27E-37,1.84E-35,75.00626333
11339,3.563303691,-0.288085716,15.07365184,2.77E-32,1.67E-30,62.78587855
8339 /// 8970,3.553414105,-0.180438659,9.850252131,4.13E-18,4.87E-17,30.36743412
8318,3.549620285,-0.245951533,15.46432006,2.50E-33,1.76E-31,65.1771178
9768,3.544597825,-0.21472601,15.54393092,1.53E-33,1.13E-31,65.66282602
5744,3.541223385,-0.153875177,7.545835842,3.46E-12,2.08E-11,16.88006633
83879,3.52058694,-0.234070717,15.74172152,4.56E-34,3.70E-32,66.86712375
6535 /// 386757 /// 653562,3.50520956,-0.263392955,11.19111636,9.97E-22,1.69E-20,38.6296347
1281,3.487696737,-0.065952841,10.34837762,1.91E-19,2.58E-18,33.4154418
1062,3.484268759,-0.251058793,15.34178028,5.31E-33,3.58E-31,64.42843186
3492 /// 3493 /// 3494 /// 3495 /// 3500 /// 3502 /// 3503 /// 3507 /// 28396 /// 28442,3.482248972,-0.048270666,6.599532745,6.05E-10,2.83E-09,11.80188159
10962,3.474539991,-0.347665494,8.985226861,7.89E-16,7.13E-15,25.16378842
503639,3.468229078,-0.301677696,13.55173822,3.60E-28,1.27E-26,53.36815969
56938,3.467450842,-0.142249881,11.30603112,4.85E-22,8.49E-21,39.3446216
1830,3.464307994,-0.207222744,6.623518951,5.33E-10,2.51E-09,11.92610843
6707,3.457903169,-0.180313764,6.19815052,4.86E-09,2.03E-08,9.761936404
55635,3.44471505,-0.173556942,15.07762217,2.70E-32,1.64E-30,62.81024312
5050,3.43359265,-0.211843672,19.11590131,9.03E-43,3.87E-40,86.7801683
990,3.410678945,-0.229513791,15.55519687,1.43E-33,1.05E-31,65.73151515
205 /// 100507855,3.386320838,-0.198154123,13.68435162,1.57E-28,5.73E-27,54.19391638
84706,3.383568988,-0.246481793,14.74345456,2.13E-31,1.12E-29,60.75534233
1290,3.382452777,-0.112078372,10.44075372,1.08E-19,1.49E-18,33.98389403
8612,3.371341056,-0.151346304,12.13520503,2.65E-24,5.95E-23,44.51949313
55143,3.361114478,-0.240447371,18.45593041,4.11E-41,1.14E-38,82.98810936
23532,3.353071175,-0.329777576,9.736050494,8.31E-18,9.51E-17,29.67330706
79733,3.340982372,-0.20960313,13.33345361,1.42E-27,4.68E-26,52.00743862
116832,3.34078645,-0.213279116,12.3124356,8.69E-25,2.06E-23,45.62759293
57405,3.336213365,-0.269125105,13.78983779,8.11E-29,3.06E-27,54.85020448
8836,3.320098762,-0.214596162,12.37335421,5.92E-25,1.43E-23,46.00852161
29028,3.303301277,-0.241764998,15.15222923,1.70E-32,1.07E-30,63.26784806
9156,3.29708917,-0.263927282,15.58752962,1.17E-33,8.82E-32,65.92858761
332,3.295536816,-0.153438241,18.21930981,1.64E-40,4.02E-38,81.61566429
79623,3.288301705,-0.300648238,11.93391642,9.40E-24,2.00E-22,43.26146319
5217,3.286426962,-0.27334079,13.03123261,9.45E-27,2.85E-25,50.12093977
1690,3.271213099,-0.199904103,9.308534229,1.12E-16,1.13E-15,27.09315325
5352,3.270458127,-0.148757297,11.75937651,2.82E-23,5.69E-22,42.17130167
29127,3.267582985,-0.215207108,15.07791847,2.70E-32,1.64E-30,62.81206131
57560 /// 286827,3.263598535,-0.191630153,13.43989428,7.26E-28,2.47E-26,52.671177
1728,3.259850457,-0.120952652,8.960998123,9.12E-16,8.19E-15,25.02004561
7083,3.259546905,-0.164458679,14.7739488,1.77E-31,9.43E-30,60.94320597
7298,3.245098342,-0.225774492,13.4016859,9.23E-28,3.10E-26,52.43296463
3017,3.242343882,-0.180674238,15.08816212,2.53E-32,1.54E-30,62.87491709
2191,3.225483372,-0.056591303,9.688266383,1.11E-17,1.25E-16,29.38344768
10643,3.219903357,-0.18038178,13.51582776,4.51E-28,1.58E-26,53.14442768
4830,3.217256282,-0.179713727,17.5799303,7.07E-39,1.26E-36,77.87408019
23397,3.214680499,-0.243798505,15.94676709,1.30E-34,1.14E-32,68.11182637
344887,3.212253098,-0.246723662,6.162083598,5.84E-09,2.42E-08,9.582359869
3493 /// 3494 /// 3495 /// 3500 /// 3502 /// 3503 /// 3507 /// 28396,3.20704706,-0.065363417,7.286048249,1.48E-11,8.24E-11,15.45185029
1277,3.202969978,-0.075481276,11.79478033,2.26E-23,4.63E-22,42.392366
6698,3.200633742,-0.140209103,6.512313604,9.58E-10,4.37E-09,11.3523158
1163,3.197922318,-0.203074222,17.17096721,8.06E-38,1.20E-35,75.45628811
151246,3.17862456,-0.212428857,12.94481343,1.63E-26,4.72E-25,49.58107293
1469,3.178436139,-0.215430289,7.84503574,6.34E-13,4.15E-12,18.55335204
115749,3.173663296,-0.264157839,10.03339006,1.34E-18,1.66E-17,31.48439391
503639 /// 642477,3.16278392,-0.26378553,12.89744767,2.19E-26,6.30E-25,49.28511106
3868,3.16264411,-0.163237864,7.33836209,1.10E-11,6.24E-11,15.73751682
5268,3.161961733,-0.211531695,9.316206493,1.07E-16,1.08E-15,27.13918069
7368,3.160193395,-0.27483001,10.82145318,1.01E-20,1.55E-19,36.33530796
1829,3.153329239,-0.202429779,11.72734961,3.45E-23,6.90E-22,41.97135504
55215,3.147102697,-0.232184594,14.9985466,4.40E-32,2.55E-30,62.32475056
64105,3.146867112,-0.184137208,13.31362373,1.60E-27,5.27E-26,51.88374136
387103,3.12267634,-0.191575661,11.81010627,2.05E-23,4.22E-22,42.48807341
56521,3.110790286,-0.15425296,7.859597886,5.84E-13,3.83E-12,18.63552349
92196,3.106278832,-0.313805844,5.493637276,1.56E-07,5.39E-07,6.375310543
1001,3.106061383,-0.066513012,8.86017543,1.67E-15,1.45E-14,24.42323197
5471,3.09209964,-0.230449026,14.53422571,7.82E-31,3.84E-29,59.46459308
81557 /// 728239 /// 100124541 /// 101340250,3.086625595,-0.200515675,10.62783026,3.36E-20,4.91E-19,35.13773565
10535,3.084887973,-0.240348668,15.79008048,3.40E-34,2.80E-32,67.1610314
3485,3.083772333,-0.28204476,7.986729506,2.81E-13,1.91E-12,19.35566047
286827,3.074872612,-0.165540546,12.81748735,3.62E-26,1.02E-24,48.78539356
51053,3.069309837,-0.210711534,16.00879313,8.94E-35,8.12E-33,68.48757066
9447,3.064275548,0.016245893,7.808052595,7.83E-13,5.07E-12,18.34496041
9582,3.055644142,-0.097434296,7.918625293,4.16E-13,2.79E-12,18.96927364
8140,3.01671107,-0.126911859,10.3645247,1.73E-19,2.34E-18,33.5147402
26256,2.997634894,-0.222701213,11.56088959,9.80E-23,1.87E-21,40.93268299
9071,2.995457794,-0.070224619,6.742943138,2.83E-10,1.37E-09,12.54834219
3492 /// 3493 /// 3494 /// 3500 /// 3501 /// 3502 /// 3507 /// 28396 /// 102725526,2.991177217,-0.055756928,6.759555308,2.59E-10,1.26E-09,12.63538111
9493,2.987450372,-0.233633421,13.95861491,2.82E-29,1.14E-27,55.89914949
29923,2.986119858,-0.16126938,8.552689094,1.04E-14,8.29E-14,22.61720525
9735,2.985345677,-0.177485191,14.86522757,1.00E-31,5.56E-30,61.50513473
6676,2.980586671,-0.048388524,9.116275681,3.59E-16,3.38E-15,25.94336019
55789,2.975546322,-0.221692327,14.77127074,1.80E-31,9.54E-30,60.92671013
1111,2.972900844,-0.212845662,15.41922636,3.30E-33,2.27E-31,64.90175622
3537 /// 3546 /// 26586 /// 28831,2.962018633,-0.013008102,6.455950543,1.29E-09,5.79E-09,11.06361517
3492 /// 3493 /// 3495 /// 3500 /// 3502 /// 3507 /// 28396 /// 28442,2.956172161,-0.022236682,6.680578549,3.94E-10,1.89E-09,12.22263649
5803,2.955528282,-0.214127067,5.433324198,2.08E-07,7.02E-07,6.097896417
4319,2.954418888,-0.13388654,5.464555567,1.79E-07,6.12E-07,6.241287928
9635,2.947096001,-0.13947524,5.378146177,2.70E-07,8.98E-07,5.845931445
4322,2.946130044,-0.086028979,6.770828771,2.44E-10,1.19E-09,12.69451465
57549,2.945210292,-0.214168768,12.81566142,3.66E-26,1.03E-24,48.77398106
3860,2.92993101,-0.139646618,4.922007544,2.15E-06,6.38E-06,3.8326029
54892,2.926120862,-0.196873641,14.73745336,2.22E-31,1.16E-29,60.7183633
55612,2.922284358,-0.096117032,12.03916858,4.85E-24,1.06E-22,43.9191916
4111,2.915245577,-0.330101576,6.452733693,1.31E-09,5.89E-09,11.04718157
4173,2.913341974,-0.169931649,17.03736701,1.79E-37,2.56E-35,74.66241652
150468,2.912704837,-0.229082916,14.71446886,2.55E-31,1.33E-29,60.57671027
1164,2.908424844,-0.172568301,11.06889158,2.14E-21,3.53E-20,37.87001801
4314,2.906961244,-0.122791205,6.820240101,1.87E-10,9.27E-10,12.95432663
10721,2.906589275,-0.205646325,15.19778688,1.29E-32,8.16E-31,63.54705767
23657,2.904656992,-0.166409033,7.942891952,3.62E-13,2.44E-12,19.10678953
1825,2.903701298,-0.19430756,6.30428205,2.82E-09,1.22E-08,10.29401158
54478,2.894314439,-0.23139592,15.47409939,2.35E-33,1.68E-31,65.23681146
79801,2.890445355,-0.116897674,10.70065668,2.14E-20,3.18E-19,35.58779533
3493 /// 3495 /// 3500 /// 3502 /// 3507 /// 28396,2.886533613,-0.0334024,6.800139779,2.08E-10,1.03E-09,12.84851265
389336,2.884451734,-0.171652878,11.43132117,2.21E-22,4.05E-21,40.12495006
5427,2.883322939,-0.218289661,14.54615424,7.26E-31,3.58E-29,59.53826209
28831,2.869825279,-0.005563286,6.779210399,2.33E-10,1.14E-09,12.73851423
53335,2.865090272,-0.237853575,9.807422385,5.37E-18,6.25E-17,30.10688808
9547,2.862803382,-0.0975572,5.506473907,1.47E-07,5.09E-07,6.434620826
84985,2.855802243,-0.029644325,9.621399109,1.68E-17,1.85E-16,28.97842159
4605,2.855336764,-0.20125166,15.02883872,3.65E-32,2.15E-30,62.51078982
1515,2.844865611,-0.173367499,11.47193829,1.71E-22,3.17E-21,40.37808048
5317,2.833712868,-0.158601509,8.084836099,1.60E-13,1.12E-12,19.91468268
2237,2.832186629,-0.19380591,15.7517592,4.29E-34,3.50E-32,66.92814663
7345,2.823043665,-0.288971449,10.6323247,3.27E-20,4.78E-19,35.16549705
27076,2.822172219,-0.150576741,8.16403626,1.01E-13,7.29E-13,20.36800177
6695,2.815062707,-0.186000065,7.771684855,9.64E-13,6.18E-12,18.14045626
1029,2.811480199,-0.160300098,9.564142014,2.38E-17,2.58E-16,28.63216985
1978,2.805026463,-0.196789427,13.04339346,8.75E-27,2.64E-25,50.19689624
3537 /// 3546 /// 26586,2.799434823,0.020288156,6.137930859,6.60E-09,2.72E-08,9.462460011
55732,2.792257572,-0.177488066,13.58378588,2.95E-28,1.05E-26,53.56778154
2244,2.790932182,-0.083580858,4.796594472,3.73E-06,1.07E-05,3.301714593
3963 /// 653499,2.78988781,-0.185866884,7.199274009,2.38E-11,1.30E-10,14.98023261
84057,2.781494485,-0.208626065,14.15631054,8.22E-30,3.55E-28,57.12592171
9245,2.778789235,-0.108170915,7.297759694,1.38E-11,7.74E-11,15.51571534
4282,2.776728981,-0.192006339,17.8637205,1.32E-39,2.78E-37,79.54067504
5831,2.7764574,-0.163825763,16.70855748,1.29E-36,1.62E-34,72.70036794
10606,2.765616814,-0.238874198,15.9138817,1.59E-34,1.38E-32,67.9124639
8581,2.763746632,-0.116007484,5.885676617,2.34E-08,8.98E-08,8.227700772
84072,2.762077923,-0.157397326,7.08849003,4.38E-11,2.34E-10,14.38225081
2550 /// 10537,2.755548712,0.025394027,5.68941073,6.11E-08,2.23E-07,7.289877997
51557,2.752066538,-0.087664936,6.245964703,3.80E-09,1.61E-08,10.0009763
84561,2.734622462,-0.108313525,11.41712653,2.42E-22,4.40E-21,40.03650519
6715,2.733776726,-0.186143192,15.10645769,2.26E-32,1.39E-30,62.98715934
132299,2.733519105,-0.129971065,14.35608029,2.37E-30,1.09E-28,58.36327903
55723,2.729131897,-0.183864954,14.70834896,2.65E-31,1.38E-29,60.53898714
30001,2.725772867,-0.07665516,11.98116964,6.98E-24,1.50E-22,43.55672572
3493 /// 3494 /// 3500 /// 3502 /// 3507 /// 28396 /// 28442,2.70942227,-0.003623683,6.143362362,6.42E-09,2.65E-08,9.489398258
8345,2.698010184,-0.166418365,14.40410601,1.76E-30,8.28E-29,58.66038089
3507,2.695707179,-0.022385976,6.640863042,4.87E-10,2.31E-09,12.01609237
80078,2.694599788,-0.118077427,6.839509446,1.69E-10,8.41E-10,13.05592424
166824,2.694058242,-0.122074984,10.28654293,2.80E-19,3.71E-18,33.03544628
1063,2.692408505,-0.174969052,14.00371326,2.13E-29,8.69E-28,56.17918825
3838,2.68767538,-0.187060854,15.61210809,1.01E-33,7.69E-32,66.07833475
6278,2.684617077,-0.094436972,4.866342803,2.75E-06,8.03E-06,3.595722115
28983,2.678909987,-0.091865416,7.340545341,1.09E-11,6.18E-11,15.74946038
25907,2.676030061,-0.150010872,7.510555275,4.22E-12,2.51E-11,16.68471754
641,2.668112177,-0.171411436,14.62866695,4.35E-31,2.20E-29,60.04758474
23594,2.665694371,-0.220740767,13.95671115,2.86E-29,1.15E-27,55.88732576
10609,2.658727143,-0.16364294,14.22534871,5.34E-30,2.36E-28,57.55380876
25788,2.638991414,-0.228649331,12.81098082,3.77E-26,1.06E-24,48.74472601
29980,2.637185664,-0.179179995,13.45175965,6.74E-28,2.30E-26,52.74514148
259266,2.636310698,-0.129939183,14.36016715,2.31E-30,1.07E-28,58.38856725
7138,2.613040014,-0.145024716,7.647914864,1.95E-12,1.20E-11,17.44765236
157313,2.611971463,-0.195231612,14.61210543,4.82E-31,2.41E-29,59.94539355
89958,2.59961161,-0.169713317,16.0270798,8.00E-35,7.42E-33,68.59827859
1289,2.597622161,-0.045011394,8.428194481,2.16E-14,1.67E-13,21.89244356
8337 /// 723790,2.596746903,-0.110351005,11.71811139,3.65E-23,7.30E-22,41.91368594
101929272,2.59585774,0.009279602,6.464029469,1.23E-09,5.56E-09,11.10490805
50802,2.594781609,-0.023614398,6.450825579,1.32E-09,5.94E-09,11.037436
5122,2.592525473,-0.214605531,5.118327233,8.93E-07,2.78E-06,4.683597281
9918,2.59161825,-0.209393783,14.00553219,2.11E-29,8.61E-28,56.19048065
5366,2.590949279,-0.096597166,8.537554618,1.13E-14,9.04E-14,22.52889132
4176,2.589896859,-0.192938664,14.20529248,6.06E-30,2.65E-28,57.42953236
79703,2.585974588,-0.113142279,13.70423002,1.39E-28,5.09E-27,54.3176297
7857,2.583807661,-0.343534824,5.567068286,1.10E-07,3.89E-07,6.71584577
118932,2.575999243,-0.007047484,7.420510983,6.99E-12,4.05E-11,16.18809507
58516,2.570220907,-0.199680637,14.61628503,4.70E-31,2.35E-29,59.97118517
6317,2.564719972,-0.091910731,4.297731107,3.02E-05,7.51E-05,1.29329627
26872,2.561325136,-0.028052559,6.881332376,1.35E-10,6.81E-10,13.27696452
5047,2.553670953,-0.038827043,5.33060723,3.37E-07,1.11E-06,5.630267409
79866,2.540240194,-0.125910825,12.67603183,8.82E-26,2.34E-24,47.90113106
171177,2.536004637,-0.10677966,9.237912892,1.72E-16,1.70E-15,26.66999136
1591,2.534877053,-0.018732943,6.355501962,2.17E-09,9.50E-09,10.55271411
10024,2.529704011,-0.200016345,17.50244172,1.12E-38,1.91E-36,77.41741336
84321 /// 728554,2.529524171,-0.19758676,13.50085103,4.95E-28,1.71E-26,53.05110358
730101,2.529281947,-0.24132987,8.921795625,1.15E-15,1.02E-14,24.78772976
79019,2.529165586,-0.167905086,12.63655745,1.13E-25,2.96E-24,47.65433016
3537 /// 3546 /// 28831,2.528736756,0.047521952,5.091315858,1.01E-06,3.12E-06,4.565091882
3537 /// 3546 /// 26586 /// 28823 /// 28831,2.527358969,0.042564341,5.166236538,7.18E-07,2.27E-06,4.894882886
260436,2.52507072,-0.02144882,4.568144131,9.92E-06,2.67E-05,2.361056617
26575,2.517111436,-0.186120692,8.581047257,8.76E-15,7.05E-14,22.78283431
8038,2.515709453,-0.106410416,9.838623956,4.43E-18,5.21E-17,30.29667042
9134,2.513752061,-0.165338263,10.85955206,7.93E-21,1.23E-19,36.57131702
4237,2.512703996,-0.105645978,8.842811293,1.85E-15,1.60E-14,24.32066843
65108,2.510908233,-0.181829081,10.38975013,1.48E-19,2.01E-18,33.66992308
2821,2.505112873,-0.15364412,13.79426409,7.89E-29,2.99E-27,54.87773166
54541,2.505056522,-0.097799116,8.053661474,1.91E-13,1.33E-12,19.73674129
400619 /// 100499467,2.503789949,-0.156685205,15.24052793,9.89E-33,6.36E-31,63.80885158
1356,2.501533467,0.073947878,5.354221068,3.01E-07,9.98E-07,5.737228458
5347,2.500181469,-0.206039606,17.13691826,9.88E-38,1.46E-35,75.25415013
6701,2.488091639,-0.13814542,6.034368078,1.11E-08,4.47E-08,8.951630334
9700,2.486880404,-0.207750306,14.65283385,3.74E-31,1.90E-29,60.19667002
2297,2.479506834,-0.222745116,7.908618119,4.41E-13,2.94E-12,18.9126164
2729,2.47688841,-0.149043424,9.336699664,9.47E-17,9.59E-16,27.26217578
203413,2.473829771,-0.096112811,5.874730489,2.47E-08,9.45E-08,8.174859094
3493 /// 3494 /// 3495 /// 3500 /// 3502 /// 3507 /// 28396,2.472645979,-0.047807793,6.920650758,1.09E-10,5.57E-10,13.48542249
7546,2.470183771,-0.234036486,8.76461113,2.95E-15,2.50E-14,23.8595993
10799,2.469159715,-0.160358582,12.5636735,1.79E-25,4.56E-24,47.19861419
55502,2.457115702,-0.257028945,8.199194555,8.22E-14,6.01E-13,20.56980503
256714,2.453031169,-0.20331121,7.514949777,4.12E-12,2.45E-11,16.70902665
9631,2.452521629,-0.163728016,12.5892214,1.52E-25,3.91E-24,47.3583597
3198,2.451043589,-0.190671398,9.01355186,6.66E-16,6.07E-15,25.3319885
55055,2.4366536,-0.171909809,13.08190196,6.87E-27,2.12E-25,50.43739646
55765,2.436499389,0.000788568,8.351591177,3.38E-14,2.57E-13,21.44845294
7031,2.436220927,-0.161839361,5.030177711,1.33E-06,4.06E-06,4.298523967
81620,2.432393417,-0.193239135,15.05744373,3.06E-32,1.83E-30,62.68640201
5163,2.427437718,-0.064768744,11.12605492,1.50E-21,2.49E-20,38.22516791
6947,2.42727284,-0.175391168,4.563943087,1.01E-05,2.71E-05,2.344084528
81831,2.416712871,-0.176103496,9.384783436,7.08E-17,7.28E-16,27.55105944
3217,2.416298663,-0.155717944,9.558436645,2.46E-17,2.67E-16,28.59769676
10926,2.400278006,-0.139829606,12.23378347,1.43E-24,3.28E-23,45.135803
