,logFC,AveExpr,t,P.Value,adj.P.Val,B
1559,0.287235868,-0.04197044,3.635255683,0.000376317,0.000781161,-1.099649776
138474,0.287234632,-0.046147045,3.581596561,0.000455417,0.000932441,-1.278908633
51069,0.287207632,-0.048957548,2.424815892,0.016455214,0.025275459,-4.567083282
1813,0.287183714,-0.028006488,5.540453474,1.25E-07,4.37E-07,6.592069325
100289495,0.286971881,-0.029608268,3.836183526,0.000180865,0.000397064,-0.408591676
84993,0.286921611,-0.04514629,2.683024716,0.008080561,0.013184771,-3.932195051
133688,0.286912892,-0.113885897,2.294388199,0.023098182,0.03444184,-4.865154012
101929475,0.286895887,-0.025088138,3.247710983,0.001423682,0.002667529,-2.342840232
284069,0.286862112,-0.031361278,3.670743375,0.000331331,0.000693902,-0.979861059
6753,0.28673408,-0.025036356,4.98732861,1.61E-06,4.86E-06,4.113081692
55209,0.286733832,-0.046039021,3.5139407,0.000577545,0.001160554,-1.501699178
348932,0.286729197,-0.017636438,3.741872248,0.000256013,0.000547377,-0.736826575
79778,0.286724263,-0.000614631,3.368701193,0.000950973,0.001838991,-1.967670045
100507330,0.28664713,-0.026805046,4.856135719,2.88E-06,8.37E-06,3.552500856
54738,0.286390883,-0.033280153,4.086030967,6.99E-05,0.000164437,0.493322384
132204,0.286303291,-0.074927908,2.518328144,0.012796535,0.020088641,-4.343980341
23269,0.286284715,-0.024306907,3.362312671,0.000971717,0.001875691,-1.987777197
84464,0.286278265,-0.031826937,4.729308093,4.99E-06,1.41E-05,3.021077049
9874,0.286152342,-0.05223938,6.656123468,4.49E-10,2.14E-09,12.09537453
765,0.285951945,-0.02623639,4.45558278,1.59E-05,4.12E-05,1.91046027
28992,0.285886087,-0.046460153,3.009579444,0.003050375,0.005393934,-3.045998234
79999,0.285869254,-0.016093669,3.712483395,0.000284923,0.000604347,-0.837716664
100287704 /// 100287834,0.285855545,-0.023348331,3.909771622,0.000137315,0.000308136,-0.147790488
6331,0.285841061,-0.045275653,3.394397646,0.000871647,0.001694577,-1.886460487
102723559,0.285761527,-0.023525176,4.463797537,1.53E-05,3.99E-05,1.943051742
4729,0.285697381,-0.022755007,2.466121441,0.014737894,0.022865578,-4.469498361
171391,0.285656229,-0.030341982,4.190690445,4.64E-05,0.000112133,0.884783924
91977,0.285593496,-0.044703848,5.121660279,8.80E-07,2.75E-06,4.698251125
285401,0.285285021,-0.013413611,5.039132274,1.28E-06,3.91E-06,4.33742204
11167 /// 101930453,0.285265763,-0.01926938,3.861874723,0.000164351,0.000363327,-0.318004731
100126791,0.285151918,-0.01290164,2.684275085,0.008051751,0.013147567,-3.928977601
100506175,0.285062729,-0.031419666,4.127793985,5.94E-05,0.000141336,0.648577592
2902,0.285022576,-0.02020802,4.970597088,1.74E-06,5.22E-06,4.040982963
5635,0.285016877,-0.039288797,2.861755343,0.004789884,0.008189894,-3.45850542
114784,0.284985727,-0.027850933,5.376585575,2.71E-07,9.04E-07,5.838830737
554174,0.284970809,-0.0167727,3.83089291,0.000184455,0.000404338,-0.427184248
8505,0.284962097,-0.016469102,3.303595014,0.001183201,0.002249305,-2.17103501
9698,0.284956709,-0.047615948,3.817740413,0.000193677,0.000422479,-0.473313378
26580 /// 100534595,0.284923676,-0.027432587,2.148726786,0.033194479,0.047985597,-5.1797943
100506599,0.284887883,-0.022541084,5.810086591,3.39E-08,1.28E-07,7.864078473
441459,0.284808979,-0.023274247,4.288728695,3.13E-05,7.77E-05,1.258625436
90799,0.284771251,-0.054722912,4.138690981,5.69E-05,0.000135792,0.689296122
9329,0.284650238,-0.021725918,4.042822399,8.27E-05,0.000192161,0.334034797
149297,0.28464827,-0.027124905,4.18871761,4.67E-05,0.000112901,0.877331631
57159,0.284572148,-0.028404809,3.638471715,0.000372014,0.000772742,-1.088834474
283212,0.284419777,-0.091076879,6.040007157,1.08E-08,4.35E-08,8.979307202
11021,0.284400662,-0.018701105,4.088141026,6.93E-05,0.000163162,0.501136086
101928820,0.284222921,-0.027349673,4.036140886,8.48E-05,0.000196844,0.309525891
255193,0.284114852,-0.034034133,4.199702578,4.47E-05,0.00010845,0.918862402
101929715,0.283971487,-0.027704941,5.43928825,2.02E-07,6.84E-07,6.125235784
162387,0.283966999,-0.027613581,3.790561607,0.000214138,0.000463874,-0.568219263
57143,0.283908196,-0.015787303,3.202936415,0.00164839,0.003056366,-2.478643411
2764,0.283837495,-0.005635815,2.46313835,0.014856353,0.023029768,-4.476597067
2925,0.283784267,-0.032138385,4.179693111,4.84E-05,0.00011676,0.843277712
23133,0.283758285,-0.041539322,5.696680191,5.90E-08,2.15E-07,7.324245104
207063,0.283727519,-0.010278795,2.858947972,0.00483032,0.008248717,-3.466159027
126549,0.283660413,-0.036045196,3.557689175,0.000495488,0.001008445,-1.358048256
3938,0.283435406,-0.03148481,3.185983463,0.001741757,0.003213416,-2.529631282
255798,0.283407896,-0.031227747,4.664318665,6.60E-06,1.82E-05,2.752843046
140849,0.283247127,-0.030087199,3.729775725,0.000267559,0.00056978,-0.778433732
24139,0.28323619,-0.022216833,4.676950356,6.25E-06,1.73E-05,2.804759681
375607,0.282902982,-0.040133545,3.931660131,0.000126421,0.00028518,-0.069430111
147945,0.282808953,-0.031131192,3.824137165,0.000189139,0.000413776,-0.45089477
64130,0.282724971,-0.035016181,2.325185239,0.021346902,0.032022548,-4.79615736
56063,0.28271419,-0.012540949,4.570271153,9.83E-06,2.64E-05,2.369654271
84330,0.282705919,-0.032310201,5.100342932,9.69E-07,3.01E-06,4.604646051
2005,0.282702637,-0.020186314,5.450353811,1.92E-07,6.51E-07,6.176014643
27439,0.28253044,-0.051591616,2.964139824,0.003510515,0.00613765,-3.174776134
